,price,percent_pro,all_comment,pic_comment,vid_comment,add_comment,pro_comment,mid_comment,con_comment
478,35.0,0.99,9000.0,92.0,1.0,40.0,6000.0,30.0,31.0
479,58.0,0.98,10000.0,46.0,0.0,64.0,10000.0,56.0,91.0
480,49.9,1.0,200.0,0.0,0.0,1.0,74.0,0.0,0.0
481,99.0,0.96,85.0,0.0,0.0,0.0,25.0,0.0,1.0
482,78.0,0.97,2000.0,0.0,0.0,8.0,400.0,5.0,8.0
483,3.0,0.96,10000.0,28.0,0.0,70.0,10000.0,200.0,200.0
484,5.0,0.98,5000.0,4.0,0.0,25.0,2000.0,25.0,21.0
485,39.0,0.97,400.0,0.0,0.0,1.0,100.0,2.0,1.0
486,60.0,0.98,9000.0,90.0,0.0,31.0,5000.0,51.0,28.0
487,35.0,0.97,900.0,0.0,0.0,3.0,100.0,1.0,3.0
488,19.9,0.98,300.0,0.0,0.0,3.0,82.0,1.0,0.0
489,128.0,0.93,300.0,0.0,0.0,2.0,44.0,0.0,3.0
490,17.9,0.98,300.0,0.0,0.0,0.0,53.0,0.0,1.0
491,69.0,0.98,1000.0,0.0,0.0,4.0,300.0,1.0,5.0
492,49.9,0.97,40000.0,0.0,0.0,100.0,10000.0,100.0,100.0
493,39.9,0.96,100.0,0.0,0.0,0.0,25.0,0.0,1.0
494,71.0,1.0,42.0,0.0,0.0,0.0,2.0,0.0,0.0
495,99.9,0.9500000000000001,700.0,0.0,0.0,2.0,100.0,4.0,2.0
496,19.9,1.0,57.0,0.0,0.0,0.0,13.0,0.0,0.0
497,16.9,0.98,4000.0,0.0,0.0,9.0,1000.0,11.0,6.0
498,241.0,0.99,100000.0,0.0,0.0,600.0,70000.0,200.0,200.0
499,49.0,0.99,3000.0,71.0,0.0,5.0,1000.0,7.0,9.0
500,69.0,0.98,4000.0,0.0,0.0,9.0,800.0,5.0,9.0
501,68.0,0.99,4000.0,0.0,0.0,11.0,1000.0,6.0,4.0
502,49.9,0.99,500.0,0.0,0.0,14.0,100.0,0.0,1.0
503,109.0,0.98,1000.0,0.0,0.0,12.0,400.0,5.0,1.0
504,29.0,0.98,1000.0,0.0,0.0,10.0,400.0,4.0,3.0
505,168.0,0.96,400.0,0.0,0.0,1.0,74.0,3.0,0.0
506,65.0,0.97,500.0,0.0,0.0,0.0,86.0,1.0,1.0
